trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2016-03-16,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-03-17,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-03-18,500,39,1.0,1.0,0.988,1.0,0.988,True,
2016-03-21,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-03-22,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-03-23,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-03-24,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-03-25,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-03-28,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-03-29,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-03-30,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-03-31,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-04-01,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-04-05,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-04-06,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-04-07,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-04-08,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-04-11,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-04-12,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-04-13,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-04-14,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-04-15,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-04-18,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-04-19,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-04-20,500,40,1.0,1.0,0.988,1.0,0.988,True,
2016-04-21,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-04-22,500,42,1.0,1.0,0.988,1.0,0.988,True,
2016-04-25,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-04-26,500,42,1.0,1.0,0.988,1.0,0.988,True,
2016-04-27,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-04-28,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-04-29,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-05-03,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-05-04,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-05-05,500,32,1.0,1.0,0.988,1.0,0.988,True,
2016-05-06,500,32,1.0,1.0,0.988,1.0,0.988,True,
2016-05-09,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-10,500,32,1.0,1.0,0.988,1.0,0.988,True,
2016-05-11,500,32,1.0,1.0,0.988,1.0,0.988,True,
2016-05-12,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-05-13,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-05-16,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-17,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-05-18,500,32,1.0,1.0,0.988,1.0,0.988,True,
2016-05-19,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-05-20,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-05-23,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-24,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-25,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-26,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-27,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-05-30,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-05-31,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-06-01,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-06-02,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-06-03,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-06-06,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-06-07,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-06-08,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-06-13,500,29,1.0,1.0,0.99,1.0,0.99,True,
2016-06-14,500,28,1.0,1.0,0.99,1.0,0.99,True,
2016-06-15,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-06-16,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-06-17,500,27,1.0,1.0,0.99,1.0,0.99,True,
2016-06-20,500,27,1.0,1.0,0.99,1.0,0.99,True,
2016-06-21,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-06-22,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-06-23,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-06-24,500,25,1.0,1.0,0.99,1.0,0.99,True,
2016-06-27,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-06-28,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-06-29,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-06-30,500,25,1.0,1.0,0.99,1.0,0.99,True,
2016-07-01,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-07-04,500,25,1.0,1.0,0.99,1.0,0.99,True,
2016-07-05,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-07-06,500,25,1.0,1.0,0.99,1.0,0.99,True,
2016-07-07,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-07-08,500,25,1.0,1.0,0.99,1.0,0.99,True,
2016-07-11,500,23,1.0,1.0,0.99,1.0,0.99,True,
2016-07-12,500,23,1.0,1.0,0.99,1.0,0.99,True,
2016-07-13,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-07-14,500,23,1.0,1.0,0.99,1.0,0.99,True,
2016-07-15,500,24,1.0,1.0,0.99,1.0,0.99,True,
2016-07-18,500,25,1.0,1.0,0.99,1.0,0.99,True,
2016-07-19,500,26,1.0,1.0,0.99,1.0,0.99,True,
2016-07-20,500,27,1.0,1.0,0.99,1.0,0.99,True,
2016-07-21,500,23,1.0,1.0,0.99,1.0,0.99,True,
2016-07-22,500,22,1.0,1.0,0.99,1.0,0.99,True,
2016-07-25,500,22,1.0,1.0,0.99,1.0,0.99,True,
2016-07-26,500,21,1.0,1.0,0.99,1.0,0.99,True,
2016-07-27,500,21,1.0,1.0,0.99,1.0,0.99,True,
2016-07-28,500,22,1.0,1.0,0.99,1.0,0.99,True,
2016-07-29,500,23,1.0,1.0,0.99,1.0,0.99,True,
2016-08-01,500,22,1.0,1.0,0.99,1.0,0.99,True,
2016-08-02,500,20,1.0,1.0,0.99,1.0,0.99,True,
2016-08-03,500,20,1.0,1.0,0.99,1.0,0.99,True,
2016-08-04,500,19,1.0,1.0,0.99,1.0,0.99,True,
2016-08-05,500,17,1.0,1.0,0.99,1.0,0.99,True,
2016-08-08,500,17,1.0,1.0,0.99,1.0,0.99,True,
2016-08-09,500,18,1.0,1.0,0.99,1.0,0.99,True,
2016-08-10,500,19,1.0,1.0,0.99,1.0,0.99,True,
2016-08-11,500,19,1.0,1.0,0.99,1.0,0.99,True,
2016-08-12,500,19,1.0,1.0,0.99,1.0,0.99,True,
2016-08-15,500,19,1.0,1.0,0.99,1.0,0.99,True,
2016-08-16,500,18,1.0,1.0,0.99,1.0,0.99,True,
