trade_date,size_bucket,factor,total,non_missing,coverage
2022-07-29,4,vol_20,12,12,1.0
2022-08-01,0,vol_20,12,12,1.0
2022-08-01,1,vol_20,12,12,1.0
2022-08-01,2,vol_20,12,12,1.0
2022-08-01,3,vol_20,12,12,1.0
2022-08-01,4,vol_20,12,12,1.0
2022-08-02,0,vol_20,12,12,1.0
2022-08-02,1,vol_20,12,12,1.0
2022-08-02,2,vol_20,12,12,1.0
2022-08-02,3,vol_20,12,12,1.0
2022-08-02,4,vol_20,12,12,1.0
2022-08-03,0,vol_20,12,12,1.0
2022-08-03,1,vol_20,12,12,1.0
2022-08-03,2,vol_20,12,12,1.0
2022-08-03,3,vol_20,12,12,1.0
2022-08-03,4,vol_20,12,12,1.0
2022-08-04,0,vol_20,12,12,1.0
2022-08-04,1,vol_20,12,12,1.0
2022-08-04,2,vol_20,12,12,1.0
2022-08-04,3,vol_20,12,12,1.0
2022-08-04,4,vol_20,12,12,1.0
2022-08-05,0,vol_20,12,12,1.0
2022-08-05,1,vol_20,12,12,1.0
2022-08-05,2,vol_20,12,12,1.0
2022-08-05,3,vol_20,12,12,1.0
2022-08-05,4,vol_20,12,12,1.0
2022-08-08,0,vol_20,12,12,1.0
2022-08-08,1,vol_20,12,12,1.0
2022-08-08,2,vol_20,12,12,1.0
2022-08-08,3,vol_20,12,12,1.0
2022-08-08,4,vol_20,12,12,1.0
2022-08-09,0,vol_20,12,12,1.0
2022-08-09,1,vol_20,12,12,1.0
2022-08-09,2,vol_20,12,12,1.0
2022-08-09,3,vol_20,12,12,1.0
2022-08-09,4,vol_20,12,12,1.0
2022-08-10,0,vol_20,12,12,1.0
2022-08-10,1,vol_20,12,12,1.0
2022-08-10,2,vol_20,12,12,1.0
2022-08-10,3,vol_20,12,12,1.0
2022-08-10,4,vol_20,12,12,1.0
2022-08-11,0,vol_20,12,12,1.0
2022-08-11,1,vol_20,12,12,1.0
2022-08-11,2,vol_20,12,12,1.0
2022-08-11,3,vol_20,12,12,1.0
2022-08-11,4,vol_20,12,12,1.0
2022-08-12,0,vol_20,12,12,1.0
2022-08-12,1,vol_20,12,12,1.0
2022-08-12,2,vol_20,12,12,1.0
2022-08-12,3,vol_20,12,12,1.0
2022-08-12,4,vol_20,12,12,1.0
2022-08-15,0,vol_20,12,12,1.0
2022-08-15,1,vol_20,12,12,1.0
2022-08-15,2,vol_20,12,12,1.0
2022-08-15,3,vol_20,12,12,1.0
2022-08-15,4,vol_20,12,12,1.0
2022-08-16,0,vol_20,12,12,1.0
2022-08-16,1,vol_20,12,12,1.0
2022-08-16,2,vol_20,12,12,1.0
2022-08-16,3,vol_20,12,12,1.0
2022-08-16,4,vol_20,12,12,1.0
2022-08-17,0,vol_20,12,12,1.0
2022-08-17,1,vol_20,12,12,1.0
2022-08-17,2,vol_20,12,12,1.0
2022-08-17,3,vol_20,12,12,1.0
2022-08-17,4,vol_20,12,12,1.0
2022-08-18,0,vol_20,12,12,1.0
2022-08-18,1,vol_20,12,12,1.0
2022-08-18,2,vol_20,12,12,1.0
2022-08-18,3,vol_20,12,12,1.0
2022-08-18,4,vol_20,12,12,1.0
2022-08-19,0,vol_20,12,12,1.0
2022-08-19,1,vol_20,12,12,1.0
2022-08-19,2,vol_20,12,12,1.0
2022-08-19,3,vol_20,12,12,1.0
2022-08-19,4,vol_20,12,12,1.0
2022-08-22,0,vol_20,12,12,1.0
2022-08-22,1,vol_20,12,12,1.0
2022-08-22,2,vol_20,12,12,1.0
2022-08-22,3,vol_20,12,12,1.0
2022-08-22,4,vol_20,12,12,1.0
